company,job_count
Dxc Technology,19
Acronis,12
Alec,10
Cyberark,10
Trading 212,10
Draftkings Inc.,9
Digitall,9
A1 Bulgaria,9
Tabby,8
Bairesdev,7
Canonical,6
Workato,6
Epam Systems,6
Tide,5
Kpmg Delivery Network Bulgaria Llc,5
Man Group,5
Neoshare Ag,5
Dormakaba,5
Experian,4
Icon Plc,4
Rabota.Bg,4
Delasport,4
Schwarz It Bulgaria,4
Commerzbank Digital Technology Centre Bulgaria,4
Redis,4
Aristocrat Interactive,4
Payhawk,4
Dsk Bank,4
Concentrix,3
Kbc Global Services,3
Keyrock,3
Everest Clinical Research,3
Netcracker Technology,3
Acca Careers,3
Kostal Group,3
Officernd,3
Proxiad See,3
Limechain - Blockchain & Web3 Solutions,3
Luxoft,3
Solaredge Technologies,3
Axway,3
Binance,3
Fastmarkets,3
Mypos,3
Sumup,3
Flix,2
Siemens,2
Sofia Stars,2
Westinghouse Electric Company,2
Ibm,2
Integrity360,2
Trinetix,2
Yettel.Bulgaria,2
Unicredit Bulbank,2
Ampstek,2
Wiser Technology,2
Dreamix,2
Point Wild (Formerly Pango Group),2
Nielseniq,2
Betty,2
Constructor Tech,2
Danfoss,2
Forsta,2
Dynamo Software,2
Endava,2
With Intelligence,2
Billfixers (Acquired By Experian),2
Talent Hunter - It&Telecom Recruitment /Part Of Talent Group/,2
Bede Gaming Limited,2
Hedgeserv,2
Msci Inc.,2
Nexo,2
Tietoevry,2
Natek,2
Mindrift,2
Shelly Group,2
Stanga1,2
Bulgaria Recruitment,1
7Security Gmbh - The Next-Level Pci Consultant,1
Melexis,1
Sopharma Trading Jsc,1
Metlife,1
Ergomed,1
A-Lign,1
Blue Lynx,1
Edgar,1
Zentiva,1
Genius Sports,1
Talent Factor,1
Tungsten Automation,1
Advisors Group,1
Mg Consult,1
Acibadem City Clinic,1
Wedosupport,1
Sopharma,1
Apex Group Ltd,1
Hec Solar,1
Rokkerx,1
Dronamics,1
Lufthansa Technik Sofia,1
Also Group,1
Crownpeak,1
Ubique Systems,1
Logifuture,1
Palfinger North America,1
First Investment Bank,1
B. Braun Group,1
Ingram Micro Bulgaria,1
Pluxee,1
Teva Pharmaceuticals,1
Coca-Cola Europacific Partners,1
Telus Digital Ai Data Solutions,1
Telus Digital,1
Information Services,1
"Smule, Inc.",1
Mbition,1
Destination Workplace,1
Ubisoft Sofia,1
Hcltech,1
Amdaris,1
Baringa,1
"B Eye | Data, Ai & Epm Consulting",1
Accenture Bulgaria,1
Green Street,1
Coca-Cola Hbc,1
Entain,1
Bede Gaming,1
Palfinger Ag,1
Deloitte,1
Graphwise,1
Astea,1
Ringcentral,1
Alcatraz,1
Approvalmax,1
Kostal Global Business Services Center,1
Mariadb,1
Fortrea,1
Postbank (Eurobank Bulgaria Ad),1
Phi Partners,1
Exacta Solutions Ltd,1
Excelsior Works,1
Bang & Olufsen,1
Labcorp,1
Mitel,1
The Walt Disney Company,1
Azelis,1
Gentrack Ltd (Global),1
Louis Dreyfus Company,1
Big Loop Studios,1
Delinian,1
Edited,1
Americaneagle.Com,1
Intellias,1
Hyperscience,1
Tradu,1
Lucidlink,1
Globawise,1
Ocado Technology,1
Adstart Media,1
Mygwork - Lgbtq+ Business Community,1
Live Interactive Software,1
Denshi,1
Hr Ethical,1
Orfium,1
Ship.Cars,1
Ebrd,1
Io,1
Yotpo,1
First - Best In Sports,1
Anthill,1
Sopra Steria Bulgaria,1
Kiteworks,1
Appolica | Venture Studio,1
Egt Digital,1
Ocado Group,1
ZÃ¼hlke Group,1
Quickbase,1
Cloudlinux,1
Eviden,1
Emerchantpay,1
Sofstring,1
Wp Engine,1
Momentus Technologies,1
Dev.Pro,1
Gameon Talent,1
Efbet,1
Liveperson,1
Newplay Technology Jsc,1
Fr Solutions,1
Virtuozzo,1
Cetin Bulgaria,1
